"Concrete Grade","Concrete Source","Qty.","Age","Weight in Kg.","Density in MT/m3","Load in KN","Comp. Strength in %"
"M-15","ACC PLANT","84 M3",7,8.73,2586.66666666667,243.5,73.6888888888889
"M-15","ACC PLANT","84 M3",7,8.261,2447.7037037037,245.9,73.6888888888889
"M-15","ACC PLANT","84 M3",7,8.508,2520.88888888889,256.7,73.6888888888889
"M-15","ACC PLANT","84 M3",28,8.73,2586.66666666667,350.6,111.535802469136
"M-15","ACC PLANT","84 M3",28,8.56,2536.2962962963,383.8,111.535802469136
"M-15","ACC PLANT","84 M3",28,8.34,2471.11111111111,394.9,111.535802469136
"M-15","ACC PLANT","84 M3",7,8.681,2572.14814814815,220,71.0222222222222
"M-15","ACC PLANT","84 M3",7,8.267,2449.48148148148,240,71.0222222222222
"M-15","ACC PLANT","84 M3",7,8.426,2496.59259259259,259.1,71.0222222222222
"M-15","ACC PLANT","84 M3",28,8.13,2408.88888888889,373,111.802469135802
"M-15","ACC PLANT","84 M3",28,8.25,2444.44444444444,382,111.802469135802
"M-15","ACC PLANT","84 M3",28,8.31,2462.22222222222,377,111.802469135802
"M-15","ACC PLANT","113 M3",7,8.13,2408.88888888889,225.6,67.0222222222222
"M-15","ACC PLANT","113 M3",7,8.464,2507.85185185185,210.2,67.0222222222222
"M-15","ACC PLANT","113 M3",7,8.373,2480.88888888889,242.8,67.0222222222222
"M-15","ACC PLANT","113 M3",28,8.145,2413.33333333333,400.3,114.311111111111
"M-15","ACC PLANT","113 M3",28,8.245,2442.96296296296,390.2,114.311111111111
"M-15","ACC PLANT","113 M3",28,8.33,2468.14814814815,366.9,114.311111111111
"M-15","ACC PLANT","113 M3",7,8.415,2493.33333333333,198.6,65.3827160493827
"M-15","ACC PLANT","113 M3",7,8.331,2468.44444444444,207.2,65.3827160493827
"M-15","ACC PLANT","113 M3",7,8.395,2487.40740740741,256.2,65.3827160493827
"M-15","ACC PLANT","113 M3",28,8.245,2442.96296296296,415.5,116.592592592593
"M-15","ACC PLANT","113 M3",28,8.35,2474.07407407407,369.8,116.592592592593
"M-15","ACC PLANT","113 M3",28,8.16,2417.77777777778,395.2,116.592592592593
"M-15","ACC PLANT","20 M3",7,8.429,2497.48148148148,230.5,66.8246913580247
"M-15","ACC PLANT","20 M3",7,8.346,2472.88888888889,219.8,66.8246913580247
"M-15","ACC PLANT","20 M3",7,8.295,2457.77777777778,226.3,66.8246913580247
"M-15","ACC PLANT","20 M3",28,8.393,2486.81481481482,425,125.728395061728
"M-15","ACC PLANT","20 M3",28,8.498,2517.92592592593,417,125.728395061728
"M-15","ACC PLANT","20 M3",28,8.389,2485.62962962963,431,125.728395061728
"M-15","ACC PLANT","120 M3",7,8.14,2411.85185185185,210.2,67.3086419753086
"M-15","ACC PLANT","120 M3",7,8.22,2435.55555555556,225.8,67.3086419753086
"M-15","ACC PLANT","120 M3",7,8.31,2462.22222222222,245.5,67.3086419753086
"M-15","ACC PLANT","120 M3",28,8.781,2601.77777777778,456.8,137.6
"M-15","ACC PLANT","120 M3",28,8.643,2560.88888888889,462.9,137.6
"M-15","ACC PLANT","120 M3",28,8.601,2548.44444444444,473.5,137.6
"M-15","ACC PLANT","120 M3",7,8.15,2414.81481481481,235.8,75.4172839506173
"M-15","ACC PLANT","120 M3",7,8.21,2432.59259259259,242.4,75.4172839506173
"M-15","ACC PLANT","120 M3",7,8.34,2471.11111111111,285.4,75.4172839506173
"M-15","ACC PLANT","120 M3",28,8.489,2515.25925925926,460.3,139.041975308642
"M-15","ACC PLANT","120 M3",28,8.564,2537.48148148148,469.4,139.041975308642
"M-15","ACC PLANT","120 M3",28,8.619,2553.77777777778,478.1,139.041975308642
"M-15","ACC PLANT","120 M3",7,8.24,2441.48148148148,200.8,66.8543209876543
"M-15","ACC PLANT","120 M3",7,8.312,2462.81481481481,245.2,66.8543209876543
"M-15","ACC PLANT","120 M3",7,8.415,2493.33333333333,230.9,66.8543209876543
"M-15","ACC PLANT","120 M3",28,8.653,2563.85185185185,480.9,141.333333333333
"M-15","ACC PLANT","120 M3",28,8.512,2522.07407407407,476.2,141.333333333333
"M-15","ACC PLANT","120 M3",28,8.498,2517.92592592593,473.9,141.333333333333
"M-15","ACC PLANT","131 M3",7,8.24,2441.48148148148,245.8,69.2641975308642
"M-15","ACC PLANT","131 M3",7,8.312,2462.81481481481,230.2,69.2641975308642
"M-15","ACC PLANT","131 M3",7,8.415,2493.33333333333,225.3,69.2641975308642
"M-15","ACC PLANT","131 M3",28,8.765,2597.03703703704,429.3,128.118518518519
"M-15","ACC PLANT","131 M3",28,8.619,2553.77777777778,435.6,128.118518518519
"M-15","ACC PLANT","131 M3",28,8.534,2528.59259259259,432.3,128.118518518519
"M-15","ACC PLANT","131 M3",7,8.21,2432.59259259259,245.8,69.837037037037
"M-15","ACC PLANT","131 M3",7,8.39,2485.92592592593,210.9,69.837037037037
"M-15","ACC PLANT","131 M3",7,8.42,2494.81481481481,250.4,69.837037037037
"M-15","ACC PLANT","131 M3",28,8.625,2555.55555555556,448.6,132.967901234568
"M-15","ACC PLANT","131 M3",28,8.576,2541.03703703704,456.8,132.967901234568
